ANSWER KEY,
Test code,123
Question number,Key
1,D
2,D
3,A
4,B
5,D
6,A
7,D
8,B
9,B
10,B
11,D
12,D
13,B
14,B
15,A
16,A
17,D
18,D
19,D
20,D
21,C
22,A
23,C
24,D
25,A
26,B
27,C
28,A
29,A
30,C
31,D
32,B
33,D
34,D
35,D
36,C
37,D
38,D
39,C
40,A
41,C
42,A
43,D
44,A
45,D
46,A
47,C
48,D
49,B
50,C
51,C
52,B
53,C
54,A
55,B
56,D
57,B
58,C
59,B
60,B
61,D
62,A
63,B
64,B
65,D
66,D
67,A
68,D
69,C
70,D
71,A
72,D
73,D
74,A
75,B
76,B
77,A
78,C
79,A
80,D
81,A
82,A
83,B
84,A
85,B
86,B
87,C
88,A
89,A
90,B
91,D
92,D
93,A
94,B
95,B
96,B
97,C
98,C
99,B
100,D
101,B
102,A
103,D
104,C
105,B
106,A
107,B
108,B
109,C
110,A
111,C
112,A
113,B
114,C
115,D
116,C
117,A
118,A
119,D
120,B
